
> @once-ui-system/magic-portfolio@1.3.0 start /app
> serve out

 INFO  Accepting connections at http://localhost:3000
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next._head.txt?_rsc=wydan
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next.__PAGE__.txt?_rsc=ueswd
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next.publications.txt?_rsc=nhkpr
 HTTP  1/13/2026 7:08:44 PM ::1 GET /publications/__next.publications.__PAGE__.txt?_rsc=5gv4
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next._head.txt?_rsc=wytjj
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 13 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 11 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 11 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next.work.txt?_rsc=93nfe
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/2ba17b095ea5ec80.js
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /work/__next.work.__PAGE__.txt?_rsc=od76h
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next._head.txt?_rsc=wytjj
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next.about.txt?_rsc=1gqnc
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/e6c1cdda4aae2d18.js
 HTTP  1/13/2026 7:08:44 PM ::1 GET /about/__next.about.__PAGE__.txt?_rsc=dgzzt
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 8 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next._head.txt?_rsc=wytjj
 HTTP  1/13/2026 7:08:44 PM ::1 GET /__next.__PAGE__.txt?_rsc=uf95a
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 1 ms
 HTTP  1/13/2026 7:08:44 PM ::1 GET /_next/static/chunks/e6c1cdda4aae2d18.js
 HTTP  1/13/2026 7:08:44 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:46 PM ::1 GET /work/aesir-rocket-project
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 6 ms
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/00df5ecde13f8ebd.css
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/185bb46d39f73c37.css
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/5ea70f59aec9fcea.css
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/81969146f4c820ed.css
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/8733659faaaeef3b.css
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 3 ms
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 4 ms
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/7412ef1dec2942e7.js
 HTTP  1/13/2026 7:08:46 PM ::1 Returned 200 in 2 ms
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/2673f19e45597ded.js
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/57f656bba7018d7c.js
 HTTP  1/13/2026 7:08:46 PM ::1 GET /_next/static/chunks/62284e6f8e9fab4a.js
